latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.98594,19.981651,113.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),rain (mm),wind_speed_10m (m/s)
2022-05-28T16:00,12.9,0.10,7.01
2022-05-28T17:00,13.0,0.00,7.40
2022-05-28T18:00,12.2,0.00,7.32
2022-05-28T19:00,11.3,0.20,6.36
2022-05-28T20:00,10.6,0.10,5.57
2022-05-28T21:00,10.3,0.00,5.14
2022-05-28T22:00,9.8,0.00,4.72
2022-05-28T23:00,9.0,0.00,4.26
2022-05-29T00:00,10.1,0.00,4.62
2022-05-29T01:00,10.3,0.00,4.70
2022-05-29T02:00,9.0,0.00,3.90
2022-05-29T03:00,8.5,0.00,3.71
2022-05-29T04:00,8.3,0.00,3.64
2022-05-29T05:00,7.8,0.00,3.83
2022-05-29T06:00,8.6,0.00,4.27
2022-05-29T07:00,10.0,0.00,5.10
2022-05-29T08:00,11.0,0.00,5.05
2022-05-29T09:00,12.0,0.10,4.46
2022-05-29T10:00,12.7,0.20,4.30
2022-05-29T11:00,13.5,0.20,4.06
2022-05-29T12:00,14.4,0.00,3.47
2022-05-29T13:00,15.1,0.00,3.01
2022-05-29T14:00,15.3,0.00,2.28
2022-05-29T15:00,15.5,0.00,2.51
2022-05-29T16:00,15.9,0.00,2.47
2022-05-29T17:00,15.8,0.00,2.15
2022-05-29T18:00,15.7,0.00,1.66
2022-05-29T19:00,14.9,0.00,1.10
2022-05-29T20:00,13.7,0.00,0.98
2022-05-29T21:00,11.7,0.00,1.71
2022-05-29T22:00,11.2,0.00,1.64
2022-05-29T23:00,10.8,0.00,1.68
2022-05-30T00:00,10.8,0.00,1.61
2022-05-30T01:00,10.2,0.20,1.82
2022-05-30T02:00,9.8,0.00,1.84
2022-05-30T03:00,9.9,0.20,2.30
2022-05-30T04:00,9.1,0.20,1.35
2022-05-30T05:00,8.9,0.10,1.00
2022-05-30T06:00,9.5,0.00,1.22
2022-05-30T07:00,10.5,0.00,1.04
2022-05-30T08:00,11.9,0.00,1.36
2022-05-30T09:00,12.9,0.00,1.10
2022-05-30T10:00,13.2,0.10,1.80
2022-05-30T11:00,14.1,0.20,3.08
2022-05-30T12:00,14.7,0.20,3.80
2022-05-30T13:00,14.1,0.50,4.24
2022-05-30T14:00,11.8,0.20,4.98
2022-05-30T15:00,11.6,0.20,4.37
2022-05-30T16:00,12.2,0.20,3.91
2022-05-30T17:00,13.6,0.00,3.70
2022-05-30T18:00,13.5,0.00,3.10
2022-05-30T19:00,13.4,0.00,2.62
2022-05-30T20:00,12.1,0.00,1.66
2022-05-30T21:00,10.0,0.00,2.25
2022-05-30T22:00,9.8,0.00,2.70
2022-05-30T23:00,9.6,0.00,3.11
